ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
CA49BA1A86B5D9D9179D07F7088CD64E,,2023-07-08 00:00:23,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.005239392,ETH;3,,,0.0,,0.0,,0.0,,0.0,,9.795249703,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x7eccbbd05830edf593d30005b8f69e965af4d59f,0xfa721d18ea3c1326f12179dca39067bd1d2c5bb2a97511faa6d21fd358cc0d95,
D13FD76845CEE62BD58D25186DEDC728,,2023-08-03 14:41:11,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0079437166,ETH;3,,,0.0,,0.0,,0.0,,0.0,,14.6204178035,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x7eccbbd05830edf593d30005b8f69e965af4d59f,0x5592b339db45fbcc6569cc1b202f967c8d929934aac3ec6b657bc4997e9705eb,
D2A21F5C72E32A5942783F4B108FDA8A,,2023-08-09 03:57:11,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.020875966,ETH;3,,,0.0,,0.0,,0.0,,0.0,,14866.6995533986,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0x0184448d02158c6b78c4b7c253304378bdea703e44ba58291c970b13496c0705,
AFF36BDBA569DF30622B7642CA664793,,2023-08-09 03:58:47,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.022318213,ETH;3,,,0.0,,0.0,,448.42,USD;10,0.0,,448.42,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0x58b1543ccb353c58d73ce6900e26b889655442da2fc27dc66cf86e8cc6d9a755,
D3FD469CD02C9E899C82DE641FBF614E,,2023-08-09 04:00:11,transfer,,Tom's Trezor;eth,E12E1849081B3971DB3B4F078AC1920F,160.0,ETH;3,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,160.0,ETH;3,0.000315,ETH;3,0.0,,,,297029.434423504,0.584776699,USD;10,false,api,api,false,false,,,0x544fe14294044733f6a53d1f31f56d7b5e0256b9,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x34df2821545adb9ef781a11806b86fd51d9d116e6e2a9481381a548f83783cd8,
FFA5F1AD3AA8B7D14E2830F2197D73D3,,2023-08-09 04:00:59,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.020875762,ETH;3,,,0.0,,0.0,,448.34,USD;10,0.0,,448.34,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0x648e65e28e8f792db361ac3cf20ad88f524e2585d2fd9c0030c3916e21156a7d,
550D4EAA3D54FCE1715A71880146533B,,2023-08-09 04:01:47,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.0221582177,ETH;3,,,0.0,,0.0,,448.41,USD;10,0.0,,448.41,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0x8b37dd094230a00dfb69d86de6ebf100fac9f27ac74b7fbb2ae0c1245f9cb2c3,
8925882A71B90CA2DF89A36F207E216B,,2023-08-09 04:02:11,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.023501613,ETH;3,,,0.0,,0.0,,448.48,USD;10,0.0,,448.48,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0xad8a0eddb783e8dd7749b9b7cf34ea7c6b2e8269e9fd9f822315db3238c97158,
FAB9AFD8918A950DF797AB990C9A6AA8,,2023-08-09 04:03:11,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.024256643,ETH;3,,,0.0,,0.0,,448.52,USD;10,0.0,,448.52,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0x4ef98d543f0729b8544ea5e00074ec8b5541b4fc3465d74842c0057e0d9106f8,
A85E32F5BE116648CDC0E61BC7ED3506,,2023-08-09 04:03:59,withdrawal,,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,8.0256275506,ETH;3,,,0.0,,0.0,,448.6,USD;10,0.0,,448.6,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2fb42ffe2d7df8381853e96304300c6a5e846905,0x4366053d2124c14f223971762e65a27cf530debf70ac3b00d7e097f058c8f033,
